from_state,to_state,expected_count,expected_object_count,expected_min_duration_ms,expected_median_duration_ms,expected_avg_duration_ms,expected_max_duration_ms,actual_count,actual_object_count,actual_min_duration_ms,actual_median_duration_ms,actual_avg_duration_ms,actual_max_duration_ms,exact_match
Degraded,Down,2,2,10000.0,40000.0,25000.0,40000.0,2,2,10000,40000,25000.0,40000,true
Degraded,Quality Hold,1,1,20000.0,20000.0,20000.0,20000.0,1,1,20000,20000,20000.0,20000,true
Down,Recovery,4,4,1790000.0,86410000.0,70725000.0,108300000.0,4,4,1790000,86410000,70725000.0,108300000,true
Idle,Setup,1,1,87100000.0,87100000.0,87100000.0,87100000.0,1,1,87100000,87100000,87100000.0,87100000,true
Quality Hold,Degraded,1,1,30000.0,30000.0,30000.0,30000.0,1,1,30000,30000,30000.0,30000,true
Recovery,Running,3,3,3600000.0,6900000.0,5880000.0,7140000.0,3,3,3600000,6900000,5880000.0,7140000,true
Running,Degraded,4,4,3600000.0,86700000.0,65902500.0,86900000.0,4,4,3600000,86700000,65902500.0,86900000,true
Running,Down,2,2,86500000.0,86600000.0,86550000.0,86600000.0,2,2,86500000,86600000,86550000.0,86600000,true
Running,Recovery,1,1,86820000.0,86820000.0,86820000.0,86820000.0,1,1,86820000,86820000,86820000.0,86820000,true
Running,Unknown,1,1,86390000.0,86390000.0,86390000.0,86390000.0,1,1,86390000,86390000,86390000.0,86390000,true
Setup,Running,2,2,10000.0,87000000.0,43505000.0,87000000.0,2,2,10000,87000000,43505000.0,87000000,true
Unknown,Running,1,1,86400000.0,86400000.0,86400000.0,86400000.0,1,1,86400000,86400000,86400000.0,86400000,true
