cohort_dimension,cohort_value,object_count,metric,value
Component,COMP-0001,1,mean_burden_minutes,1440.1666666666667
Component,COMP-0001,1,mean_transition_count,4.0
Component,COMP-0001,1,mean_median_recovery_minutes,1440.1666666666667
Component,COMP-0002,1,mean_burden_minutes,1805.0
Component,COMP-0002,1,mean_transition_count,3.0
Component,COMP-0002,1,mean_median_recovery_minutes,1805.0
Component,COMP-0003,1,mean_burden_minutes,1440.0
Component,COMP-0003,1,mean_transition_count,4.0
Component,COMP-0003,1,mean_median_recovery_minutes,1440.0
Component,COMP-0004,1,mean_burden_minutes,29.833333333333332
Component,COMP-0004,1,mean_transition_count,3.0
Component,COMP-0004,1,mean_median_recovery_minutes,29.833333333333332
Component,COMP-0005,1,mean_burden_minutes,0.0
Component,COMP-0005,1,mean_transition_count,1.0
Component,COMP-0005,1,mean_median_recovery_minutes,0.0
Component,COMP-0006,1,mean_burden_minutes,0.0
Component,COMP-0006,1,mean_transition_count,3.0
Component,COMP-0006,1,mean_median_recovery_minutes,0.0
Component,COMP-0007,1,mean_burden_minutes,0.0
Component,COMP-0007,1,mean_transition_count,1.0
Component,COMP-0007,1,mean_median_recovery_minutes,0.0
Component,COMP-0008,1,mean_burden_minutes,0.0
Component,COMP-0008,1,mean_transition_count,4.0
Component,COMP-0008,1,mean_median_recovery_minutes,0.0
MaintenanceTeam,TEAM-001,1,mean_burden_minutes,1440.1666666666667
MaintenanceTeam,TEAM-001,1,mean_transition_count,4.0
MaintenanceTeam,TEAM-001,1,mean_median_recovery_minutes,1440.1666666666667
MaintenanceTeam,TEAM-003,1,mean_burden_minutes,1805.0
MaintenanceTeam,TEAM-003,1,mean_transition_count,3.0
MaintenanceTeam,TEAM-003,1,mean_median_recovery_minutes,1805.0
MaintenanceTeam,none,6,mean_burden_minutes,244.9722222222222
MaintenanceTeam,none,6,mean_transition_count,2.6666666666666665
MaintenanceTeam,none,6,mean_median_recovery_minutes,244.9722222222222
Shift,none,8,mean_burden_minutes,589.375
Shift,none,8,mean_transition_count,2.875
Shift,none,8,mean_median_recovery_minutes,589.375
criticality,high,3,mean_burden_minutes,490.0
criticality,high,3,mean_transition_count,2.6666666666666665
criticality,high,3,mean_median_recovery_minutes,490.0
criticality,low,2,mean_burden_minutes,720.0
criticality,low,2,mean_transition_count,3.5
criticality,low,2,mean_median_recovery_minutes,720.0
criticality,medium,3,mean_burden_minutes,601.6666666666666
criticality,medium,3,mean_transition_count,2.6666666666666665
criticality,medium,3,mean_median_recovery_minutes,601.6666666666666
machine_family,FAMILY-1,4,mean_burden_minutes,720.0416666666667
machine_family,FAMILY-1,4,mean_transition_count,2.5
machine_family,FAMILY-1,4,mean_median_recovery_minutes,720.0416666666667
machine_family,FAMILY-2,4,mean_burden_minutes,458.7083333333333
machine_family,FAMILY-2,4,mean_transition_count,3.25
machine_family,FAMILY-2,4,mean_median_recovery_minutes,458.7083333333333
site,SITE-A,4,mean_burden_minutes,720.0416666666667
site,SITE-A,4,mean_transition_count,2.5
site,SITE-A,4,mean_median_recovery_minutes,720.0416666666667
site,SITE-B,4,mean_burden_minutes,458.7083333333333
site,SITE-B,4,mean_transition_count,3.25
site,SITE-B,4,mean_median_recovery_minutes,458.7083333333333
