leading_object_id,episode_id,label,start_event_id,end_event_id,start_time,end_time,duration_minutes,event_count,right_censored
IL-0001,IL-0001-EP-001,Nominal Replenishment,INV-E-000001,INV-E-000009,2025-01-01T00:00:00Z,2025-01-02T00:00:10Z,1440.1666666666667,1,false
IL-0001,IL-0001-EP-002,Demand Surge Without Inbound,INV-E-000009,INV-E-000015,2025-01-02T00:00:10Z,2025-01-04T00:01:00Z,2880.8333333333335,6,false
IL-0001,IL-0001-EP-003,Replenishment In Transit,INV-E-000015,INV-E-000016,2025-01-04T00:01:00Z,2025-01-06T00:00:00Z,2879.0,1,false
IL-0001,IL-0001-EP-004,Receipt-Driven Excess,INV-E-000016,INV-E-000018,2025-01-06T00:00:00Z,2025-01-08T00:00:00Z,2880.0,2,false
IL-0001,IL-0001-EP-005,Transfer Recovery,INV-E-000018,INV-E-000045,2025-01-08T00:00:00Z,2025-02-05T00:00:00Z,40320.0,2,true
IL-0002,IL-0002-EP-001,Stable Low Movement,INV-E-000002,INV-E-000019,2025-01-01T00:00:00Z,2025-01-02T00:01:40Z,1441.6666666666667,1,false
IL-0002,IL-0002-EP-002,Supplier Delay,INV-E-000019,INV-E-000023,2025-01-02T00:01:40Z,2025-01-09T00:01:40Z,10080.0,4,false
IL-0002,IL-0002-EP-003,Nominal Replenishment,INV-E-000023,INV-E-000046,2025-01-09T00:01:40Z,2025-02-05T00:00:01Z,38878.35,2,true
IL-0003,IL-0003-EP-001,Nominal Replenishment,INV-E-000003,INV-E-000026,2025-01-01T00:00:00Z,2025-01-04T00:00:10Z,4320.166666666667,3,false
IL-0003,IL-0003-EP-002,Receipt-Driven Excess,INV-E-000026,INV-E-000029,2025-01-04T00:00:10Z,2025-01-05T00:00:10Z,1440.0,3,false
IL-0003,IL-0003-EP-003,Transfer Recovery,INV-E-000029,INV-E-000047,2025-01-05T00:00:10Z,2025-02-05T00:00:02Z,44639.86666666667,2,true
IL-0004,IL-0004-EP-001,Nominal Replenishment,INV-E-000004,INV-E-000030,2025-01-01T00:00:00Z,2025-01-05T00:00:20Z,5760.333333333333,1,false
IL-0004,IL-0004-EP-002,Transfer Recovery,INV-E-000030,INV-E-000048,2025-01-05T00:00:20Z,2025-02-05T00:00:03Z,44639.71666666667,2,true
IL-0005,IL-0005-EP-001,Nominal Replenishment,INV-E-000005,INV-E-000031,2025-01-01T00:00:00Z,2025-01-02T00:03:20Z,1443.3333333333333,1,false
IL-0005,IL-0005-EP-002,Demand Surge Without Inbound,INV-E-000031,INV-E-000033,2025-01-02T00:03:20Z,2025-01-04T00:03:30Z,2880.1666666666665,2,false
IL-0005,IL-0005-EP-003,Count Discrepancy,INV-E-000033,INV-E-000049,2025-01-04T00:03:30Z,2025-02-05T00:00:04Z,46076.566666666666,2,true
IL-0006,IL-0006-EP-001,Nominal Replenishment,INV-E-000006,INV-E-000034,2025-01-01T00:00:00Z,2025-01-03T00:05:00Z,2885.0,1,false
IL-0006,IL-0006-EP-002,Count Discrepancy,INV-E-000034,INV-E-000050,2025-01-03T00:05:00Z,2025-02-05T00:00:05Z,47515.083333333336,3,true
IL-0007,IL-0007-EP-001,Nominal Replenishment,INV-E-000007,INV-E-000038,2025-01-01T00:00:00Z,2025-01-02T00:06:40Z,1446.6666666666667,1,false
IL-0007,IL-0007-EP-002,Forecast or Policy Bias,INV-E-000038,INV-E-000041,2025-01-02T00:06:40Z,2025-01-05T00:06:40Z,4320.0,3,false
IL-0007,IL-0007-EP-003,Nominal Replenishment,INV-E-000041,INV-E-000044,2025-01-05T00:06:40Z,2025-01-08T00:06:40Z,4320.0,2,false
IL-0007,IL-0007-EP-004,Transfer Recovery,INV-E-000044,INV-E-000051,2025-01-08T00:06:40Z,2025-02-05T00:00:06Z,40313.433333333334,2,true
IL-0008,IL-0008-EP-001,Nominal Replenishment,INV-E-000008,INV-E-000036,2025-01-01T00:00:00Z,2025-01-03T00:08:20Z,2888.3333333333335,1,false
IL-0008,IL-0008-EP-002,Data Gap,INV-E-000036,INV-E-000037,2025-01-03T00:08:20Z,2025-01-04T00:08:20Z,1440.0,1,false
IL-0008,IL-0008-EP-003,Nominal Replenishment,INV-E-000037,INV-E-000043,2025-01-04T00:08:20Z,2025-01-07T00:06:40Z,4318.333333333333,1,false
IL-0008,IL-0008-EP-004,Transfer Recovery,INV-E-000043,INV-E-000052,2025-01-07T00:06:40Z,2025-02-05T00:00:07Z,41753.45,2,true
