transition_id,leading_object_id,event_id,event_time,from_state,to_state,from_state_started_at,duration_minutes
INV-T-00001,IL-0001,INV-E-000011,2025-01-02T00:00:30Z,Normal,Understock,2025-01-01T00:00:00Z,1440.5
INV-T-00002,IL-0001,INV-E-000012,2025-01-02T00:00:40Z,Understock,Critical Understock,2025-01-02T00:00:30Z,0.16666666666666666
INV-T-00003,IL-0001,INV-E-000015,2025-01-04T00:01:00Z,Critical Understock,Understock,2025-01-02T00:00:40Z,2880.3333333333335
INV-T-00004,IL-0001,INV-E-000016,2025-01-06T00:00:00Z,Understock,Overstock,2025-01-04T00:01:00Z,2879.0
INV-T-00005,IL-0001,INV-E-000018,2025-01-08T00:00:00Z,Overstock,Normal,2025-01-06T00:00:00Z,2880.0
INV-T-00006,IL-0002,INV-E-000023,2025-01-09T00:01:40Z,Understock,Normal,2025-01-01T00:00:00Z,11521.666666666666
INV-T-00007,IL-0003,INV-E-000026,2025-01-04T00:00:10Z,Normal,Overstock,2025-01-01T00:00:00Z,4320.166666666667
INV-T-00008,IL-0003,INV-E-000029,2025-01-05T00:00:10Z,Overstock,Normal,2025-01-04T00:00:10Z,1440.0
INV-T-00009,IL-0004,INV-E-000030,2025-01-05T00:00:20Z,Understock,Normal,2025-01-01T00:00:00Z,5760.333333333333
INV-T-00010,IL-0005,INV-E-000031,2025-01-02T00:03:20Z,Normal,Understock,2025-01-01T00:00:00Z,1443.3333333333333
INV-T-00011,IL-0005,INV-E-000032,2025-01-02T00:03:30Z,Understock,Critical Understock,2025-01-02T00:03:20Z,0.16666666666666666
INV-T-00012,IL-0005,INV-E-000033,2025-01-04T00:03:30Z,Critical Understock,Normal,2025-01-02T00:03:30Z,2880.0
INV-T-00013,IL-0006,INV-E-000035,2025-01-03T00:05:10Z,Overstock,Normal,2025-01-01T00:00:00Z,2885.1666666666665
INV-T-00014,IL-0008,INV-E-000036,2025-01-03T00:08:20Z,Normal,Unknown,2025-01-01T00:00:00Z,2888.3333333333335
INV-T-00015,IL-0008,INV-E-000037,2025-01-04T00:08:20Z,Unknown,Normal,2025-01-03T00:08:20Z,1440.0
