leading_object_id,event_id,event_time,primary_regime,regime_factors_json,regime_started_at,transition_window
IL-0001,INV-E-000001,2025-01-01T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0001,INV-E-000009,2025-01-02T00:00:10Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:00:10Z,true
IL-0001,INV-E-000010,2025-01-02T00:00:20Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:00:10Z,false
IL-0001,INV-E-000011,2025-01-02T00:00:30Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:00:10Z,false
IL-0001,INV-E-000012,2025-01-02T00:00:40Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:00:10Z,false
IL-0001,INV-E-000013,2025-01-02T00:00:50Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:00:10Z,false
IL-0001,INV-E-000014,2025-01-02T00:01:00Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:00:10Z,false
IL-0001,INV-E-000015,2025-01-04T00:01:00Z,Replenishment In Transit,"[""Replenishment In Transit""]",2025-01-04T00:01:00Z,true
IL-0001,INV-E-000016,2025-01-06T00:00:00Z,Receipt-Driven Excess,"[""Receipt-Driven Excess""]",2025-01-06T00:00:00Z,true
IL-0001,INV-E-000017,2025-01-07T00:00:00Z,Receipt-Driven Excess,"[""Receipt-Driven Excess""]",2025-01-06T00:00:00Z,false
IL-0001,INV-E-000018,2025-01-08T00:00:00Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-08T00:00:00Z,true
IL-0001,INV-E-000045,2025-02-05T00:00:00Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-08T00:00:00Z,false
IL-0002,INV-E-000002,2025-01-01T00:00:00Z,Stable Low Movement,"[""Stable Low Movement""]",2025-01-01T00:00:00Z,false
IL-0002,INV-E-000019,2025-01-02T00:01:40Z,Supplier Delay,"[""Supplier Delay""]",2025-01-02T00:01:40Z,true
IL-0002,INV-E-000020,2025-01-02T00:01:50Z,Supplier Delay,"[""Supplier Delay""]",2025-01-02T00:01:40Z,false
IL-0002,INV-E-000021,2025-01-04T00:01:40Z,Supplier Delay,"[""Supplier Delay""]",2025-01-02T00:01:40Z,false
IL-0002,INV-E-000022,2025-01-05T00:01:40Z,Supplier Delay,"[""Supplier Delay""]",2025-01-02T00:01:40Z,false
IL-0002,INV-E-000023,2025-01-09T00:01:40Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-09T00:01:40Z,true
IL-0002,INV-E-000046,2025-02-05T00:00:01Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-09T00:01:40Z,false
IL-0003,INV-E-000003,2025-01-01T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0003,INV-E-000024,2025-01-02T12:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0003,INV-E-000025,2025-01-03T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0003,INV-E-000026,2025-01-04T00:00:10Z,Receipt-Driven Excess,"[""Receipt-Driven Excess""]",2025-01-04T00:00:10Z,true
IL-0003,INV-E-000027,2025-01-04T00:00:20Z,Receipt-Driven Excess,"[""Receipt-Driven Excess""]",2025-01-04T00:00:10Z,false
IL-0003,INV-E-000028,2025-01-04T00:00:30Z,Receipt-Driven Excess,"[""Receipt-Driven Excess""]",2025-01-04T00:00:10Z,false
IL-0003,INV-E-000029,2025-01-05T00:00:10Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-05T00:00:10Z,true
IL-0003,INV-E-000047,2025-02-05T00:00:02Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-05T00:00:10Z,false
IL-0004,INV-E-000004,2025-01-01T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
