from_state,to_state,expected_count,expected_object_count,expected_min_duration_ms,expected_median_duration_ms,expected_avg_duration_ms,expected_max_duration_ms,actual_count,actual_object_count,actual_min_duration_ms,actual_median_duration_ms,actual_avg_duration_ms,actual_max_duration_ms,exact_match
Critical Understock,Normal,1,1,172800000.0,172800000.0,172800000.0,172800000.0,1,1,172800000,172800000,172800000.0,172800000,true
Critical Understock,Understock,1,1,172820000.0,172820000.0,172820000.0,172820000.0,1,1,172820000,172820000,172820000.0,172820000,true
Normal,Overstock,1,1,259210000.00000003,259210000.00000003,259210000.00000003,259210000.00000003,1,1,259210000,259210000,259210000.0,259210000,true
Normal,Understock,2,2,86430000.0,86600000.0,86515000.0,86600000.0,2,2,86430000,86600000,86515000.0,86600000,true
Normal,Unknown,1,1,173300000.0,173300000.0,173300000.0,173300000.0,1,1,173300000,173300000,173300000.0,173300000,true
Overstock,Normal,3,3,86400000.0,172800000.0,144103333.33333334,173110000.0,3,3,86400000,172800000,144103333.333333,173110000,true
Understock,Critical Understock,2,2,10000.0,10000.0,10000.0,10000.0,2,2,10000,10000,10000.0,10000,true
Understock,Normal,2,2,345620000.0,691300000.0,518460000.0,691300000.0,2,2,345620000,691300000,518460000.0,691300000,true
Understock,Overstock,1,1,172740000.0,172740000.0,172740000.0,172740000.0,1,1,172740000,172740000,172740000.0,172740000,true
Unknown,Normal,1,1,86400000.0,86400000.0,86400000.0,86400000.0,1,1,86400000,86400000,86400000.0,86400000,true
