cohort_dimension,cohort_value,object_count,metric,value
Location,LOC-001,3,mean_burden_minutes,3839.944444444444
Location,LOC-001,3,mean_transition_count,2.0
Location,LOC-001,3,mean_median_recovery_minutes,1920.111111111111
Location,LOC-002,3,mean_burden_minutes,4800.61111111111
Location,LOC-002,3,mean_transition_count,2.0
Location,LOC-002,3,mean_median_recovery_minutes,4800.61111111111
Location,LOC-003,2,mean_burden_minutes,0.0
Location,LOC-003,2,mean_transition_count,1.5
Location,LOC-003,2,mean_median_recovery_minutes,0.0
Planner,PLN-001,2,mean_burden_minutes,2879.75
Planner,PLN-001,2,mean_transition_count,3.0
Planner,PLN-001,2,mean_median_recovery_minutes,0.0
Planner,PLN-002,2,mean_burden_minutes,5760.833333333333
Planner,PLN-002,2,mean_transition_count,0.5
Planner,PLN-002,2,mean_median_recovery_minutes,5760.833333333333
Planner,PLN-003,1,mean_burden_minutes,0.0
Planner,PLN-003,1,mean_transition_count,2.0
Planner,PLN-003,1,mean_median_recovery_minutes,0.0
Planner,none,3,mean_burden_minutes,2880.1666666666665
Planner,none,3,mean_transition_count,2.0
Planner,none,3,mean_median_recovery_minutes,2880.1666666666665
Supplier,SUP-001,2,mean_burden_minutes,2879.75
Supplier,SUP-001,2,mean_transition_count,2.5
Supplier,SUP-001,2,mean_median_recovery_minutes,0.0
Supplier,SUP-002,1,mean_burden_minutes,11521.666666666666
Supplier,SUP-002,1,mean_transition_count,1.0
Supplier,SUP-002,1,mean_median_recovery_minutes,11521.666666666666
Supplier,SUP-003,1,mean_burden_minutes,0.0
Supplier,SUP-003,1,mean_transition_count,2.0
Supplier,SUP-003,1,mean_median_recovery_minutes,0.0
Supplier,none,4,mean_burden_minutes,2160.125
Supplier,none,4,mean_transition_count,1.75
Supplier,none,4,mean_median_recovery_minutes,2160.125
location_class,compact,3,mean_burden_minutes,3839.944444444444
location_class,compact,3,mean_transition_count,2.0
location_class,compact,3,mean_median_recovery_minutes,1920.111111111111
location_class,large,2,mean_burden_minutes,0.0
location_class,large,2,mean_transition_count,1.5
location_class,large,2,mean_median_recovery_minutes,0.0
location_class,standard,3,mean_burden_minutes,4800.61111111111
location_class,standard,3,mean_transition_count,2.0
location_class,standard,3,mean_median_recovery_minutes,4800.61111111111
material_class,smooth,8,mean_burden_minutes,3240.208333333333
material_class,smooth,8,mean_transition_count,1.875
material_class,smooth,8,mean_median_recovery_minutes,2520.270833333333
policy_version,P1,7,mean_burden_minutes,3703.0952380952376
policy_version,P1,7,mean_transition_count,1.8571428571428572
policy_version,P1,7,mean_median_recovery_minutes,2880.3095238095234
policy_version,P2,1,mean_burden_minutes,0.0
policy_version,P2,1,mean_transition_count,2.0
policy_version,P2,1,mean_median_recovery_minutes,0.0
