leading_object_id,event_id,event_time,primary_regime,regime_factors_json,regime_started_at,transition_window
M-001,MFG-E-000001,2025-01-01T00:00:00Z,Healthy Steady Run,"[""Healthy Steady Run""]",2025-01-01T00:00:00Z,false
M-001,MFG-E-000009,2025-01-02T00:00:10Z,Bearing Degradation,"[""Bearing Degradation""]",2025-01-02T00:00:10Z,true
M-001,MFG-E-000010,2025-01-02T00:00:20Z,Alarm Escalation,"[""Alarm Escalation""]",2025-01-02T00:00:20Z,true
M-001,MFG-E-000011,2025-01-02T00:00:30Z,Alarm Escalation,"[""Alarm Escalation""]",2025-01-02T00:00:20Z,false
M-001,MFG-E-000012,2025-01-02T00:00:40Z,Alarm Escalation,"[""Alarm Escalation""]",2025-01-02T00:00:20Z,false
M-001,MFG-E-000013,2025-01-02T00:00:50Z,Failed,"[""Failed""]",2025-01-02T00:00:50Z,true
M-001,MFG-E-000014,2025-01-02T12:00:00Z,Waiting for Maintenance,"[""Waiting for Maintenance""]",2025-01-02T12:00:00Z,true
M-001,MFG-E-000015,2025-01-03T00:00:10Z,Active Repair,"[""Active Repair""]",2025-01-03T00:00:10Z,true
M-001,MFG-E-000016,2025-01-03T00:00:20Z,Active Repair,"[""Active Repair""]",2025-01-03T00:00:10Z,false
M-001,MFG-E-000017,2025-01-03T00:00:30Z,Active Repair,"[""Active Repair""]",2025-01-03T00:00:10Z,false
M-001,MFG-E-000018,2025-01-03T00:00:40Z,Active Repair,"[""Active Repair""]",2025-01-03T00:00:10Z,false
M-001,MFG-E-000019,2025-01-03T00:00:50Z,Post-Repair Recovery,"[""Post-Repair Recovery""]",2025-01-03T00:00:50Z,true
M-001,MFG-E-000020,2025-01-03T00:01:00Z,Post-Repair Recovery,"[""Post-Repair Recovery""]",2025-01-03T00:00:50Z,false
M-001,MFG-E-000021,2025-01-03T02:00:00Z,Healthy Steady Run,"[""Healthy Steady Run""]",2025-01-03T02:00:00Z,true
M-001,MFG-E-000022,2025-01-03T02:00:10Z,Healthy Steady Run,"[""Healthy Steady Run""]",2025-01-03T02:00:00Z,false
M-001,MFG-E-000061,2025-01-31T00:00:00Z,Healthy Steady Run,"[""Healthy Steady Run""]",2025-01-03T02:00:00Z,false
M-002,MFG-E-000002,2025-01-01T00:00:00Z,Healthy Steady Run,"[""Healthy Steady Run""]",2025-01-01T00:00:00Z,false
M-002,MFG-E-000023,2025-01-02T00:01:40Z,Failed,"[""Failed""]",2025-01-02T00:01:40Z,true
M-002,MFG-E-000024,2025-01-02T00:06:40Z,Waiting for Maintenance,"[""Waiting for Maintenance""]",2025-01-02T00:06:40Z,true
M-002,MFG-E-000025,2025-01-03T00:01:40Z,Active Repair,"[""Active Repair""]",2025-01-03T00:01:40Z,true
M-002,MFG-E-000026,2025-01-03T00:06:40Z,Active Repair,"[""Active Repair""]",2025-01-03T00:01:40Z,false
M-002,MFG-E-000027,2025-01-03T00:11:40Z,Active Repair,"[""Active Repair""]",2025-01-03T00:01:40Z,false
