leading_object_id,episode_id,label,start_event_id,end_event_id,start_time,end_time,duration_minutes,event_count,right_censored
M-001,M-001-EP-001,Healthy Steady Run,MFG-E-000001,MFG-E-000009,2025-01-01T00:00:00Z,2025-01-02T00:00:10Z,1440.1666666666667,1,false
M-001,M-001-EP-002,Bearing Degradation,MFG-E-000009,MFG-E-000010,2025-01-02T00:00:10Z,2025-01-02T00:00:20Z,0.16666666666666666,1,false
M-001,M-001-EP-003,Alarm Escalation,MFG-E-000010,MFG-E-000013,2025-01-02T00:00:20Z,2025-01-02T00:00:50Z,0.5,3,false
M-001,M-001-EP-004,Failed,MFG-E-000013,MFG-E-000014,2025-01-02T00:00:50Z,2025-01-02T12:00:00Z,719.1666666666666,1,false
M-001,M-001-EP-005,Waiting for Maintenance,MFG-E-000014,MFG-E-000015,2025-01-02T12:00:00Z,2025-01-03T00:00:10Z,720.1666666666666,1,false
M-001,M-001-EP-006,Active Repair,MFG-E-000015,MFG-E-000019,2025-01-03T00:00:10Z,2025-01-03T00:00:50Z,0.6666666666666666,4,false
M-001,M-001-EP-007,Post-Repair Recovery,MFG-E-000019,MFG-E-000021,2025-01-03T00:00:50Z,2025-01-03T02:00:00Z,119.16666666666667,2,false
M-001,M-001-EP-008,Healthy Steady Run,MFG-E-000021,MFG-E-000061,2025-01-03T02:00:00Z,2025-01-31T00:00:00Z,40200.0,3,true
M-002,M-002-EP-001,Healthy Steady Run,MFG-E-000002,MFG-E-000023,2025-01-01T00:00:00Z,2025-01-02T00:01:40Z,1441.6666666666667,1,false
M-002,M-002-EP-002,Failed,MFG-E-000023,MFG-E-000024,2025-01-02T00:01:40Z,2025-01-02T00:06:40Z,5.0,1,false
M-002,M-002-EP-003,Waiting for Maintenance,MFG-E-000024,MFG-E-000025,2025-01-02T00:06:40Z,2025-01-03T00:01:40Z,1435.0,1,false
M-002,M-002-EP-004,Active Repair,MFG-E-000025,MFG-E-000031,2025-01-03T00:01:40Z,2025-01-03T06:01:40Z,360.0,6,false
M-002,M-002-EP-005,Post-Repair Recovery,MFG-E-000031,MFG-E-000033,2025-01-03T06:01:40Z,2025-01-03T08:01:40Z,120.0,2,false
M-002,M-002-EP-006,Healthy Steady Run,MFG-E-000033,MFG-E-000062,2025-01-03T08:01:40Z,2025-01-31T00:00:01Z,39838.35,2,true
M-003,M-003-EP-001,Healthy Steady Run,MFG-E-000003,MFG-E-000034,2025-01-01T00:00:00Z,2025-01-02T00:03:20Z,1443.3333333333333,1,false
M-003,M-003-EP-002,Failed,MFG-E-000034,MFG-E-000035,2025-01-02T00:03:20Z,2025-01-02T12:03:20Z,720.0,1,false
M-003,M-003-EP-003,Post-Repair Recovery,MFG-E-000035,MFG-E-000038,2025-01-02T12:03:20Z,2025-01-03T01:03:20Z,780.0,3,false
M-003,M-003-EP-004,Healthy Steady Run,MFG-E-000038,MFG-E-000039,2025-01-03T01:03:20Z,2025-01-03T02:03:20Z,60.0,1,false
M-003,M-003-EP-005,Bearing Degradation,MFG-E-000039,MFG-E-000063,2025-01-03T02:03:20Z,2025-01-31T00:00:02Z,40196.7,2,true
M-004,M-004-EP-001,Healthy Steady Run,MFG-E-000004,MFG-E-000040,2025-01-01T00:00:00Z,2025-01-02T00:05:00Z,1445.0,1,false
M-004,M-004-EP-002,Alarm Escalation,MFG-E-000040,MFG-E-000041,2025-01-02T00:05:00Z,2025-01-02T00:05:10Z,0.16666666666666666,1,false
M-004,M-004-EP-003,Failed,MFG-E-000041,MFG-E-000042,2025-01-02T00:05:10Z,2025-01-02T00:35:00Z,29.833333333333332,1,false
M-004,M-004-EP-004,Post-Repair Recovery,MFG-E-000042,MFG-E-000064,2025-01-02T00:35:00Z,2025-01-31T00:00:03Z,41725.05,2,true
M-005,M-005-EP-001,Healthy Steady Run,MFG-E-000005,MFG-E-000043,2025-01-01T00:00:00Z,2025-01-02T00:06:40Z,1446.6666666666667,1,false
M-005,M-005-EP-002,Waiting for Maintenance,MFG-E-000043,MFG-E-000044,2025-01-02T00:06:40Z,2025-01-02T00:06:50Z,0.16666666666666666,1,false
M-005,M-005-EP-003,Active Repair,MFG-E-000044,MFG-E-000046,2025-01-02T00:06:50Z,2025-01-02T00:06:58Z,0.13333333333333333,2,false
M-005,M-005-EP-004,Post-Repair Recovery,MFG-E-000046,MFG-E-000065,2025-01-02T00:06:58Z,2025-01-31T00:00:04Z,41753.1,4,true
M-006,M-006-EP-001,Healthy Steady Run,MFG-E-000006,MFG-E-000049,2025-01-01T00:00:00Z,2025-01-02T00:08:20Z,1448.3333333333333,1,false
M-006,M-006-EP-002,Thermal Drift,MFG-E-000049,MFG-E-000050,2025-01-02T00:08:20Z,2025-01-02T00:08:30Z,0.16666666666666666,1,false
M-006,M-006-EP-003,Quality Drift,MFG-E-000050,MFG-E-000053,2025-01-02T00:08:30Z,2025-01-02T00:09:00Z,0.5,3,false
M-006,M-006-EP-004,Active Repair,MFG-E-000053,MFG-E-000054,2025-01-02T00:09:00Z,2025-01-02T00:09:10Z,0.16666666666666666,1,false
M-006,M-006-EP-005,Quality Drift,MFG-E-000054,MFG-E-000066,2025-01-02T00:09:10Z,2025-01-31T00:00:05Z,41750.916666666664,2,true
M-007,M-007-EP-001,Setup or Changeover,MFG-E-000007,MFG-E-000055,2025-01-01T00:00:00Z,2025-01-02T00:10:00Z,1450.0,1,false
M-007,M-007-EP-002,Healthy Steady Run,MFG-E-000055,MFG-E-000056,2025-01-02T00:10:00Z,2025-01-03T00:10:00Z,1440.0,1,false
M-007,M-007-EP-003,Active Repair,MFG-E-000056,MFG-E-000067,2025-01-03T00:10:00Z,2025-01-31T00:00:06Z,40310.1,2,true
M-008,M-008-EP-001,Idle,MFG-E-000008,MFG-E-000057,2025-01-01T00:00:00Z,2025-01-02T00:11:40Z,1451.6666666666667,1,false
M-008,M-008-EP-002,Setup or Changeover,MFG-E-000057,MFG-E-000058,2025-01-02T00:11:40Z,2025-01-02T00:11:50Z,0.16666666666666666,1,false
