transition_id,leading_object_id,event_id,event_time,from_state,to_state,from_state_started_at,duration_minutes
MFG-T-00001,M-001,MFG-E-000009,2025-01-02T00:00:10Z,Running,Degraded,2025-01-01T00:00:00Z,1440.1666666666667
MFG-T-00002,M-001,MFG-E-000013,2025-01-02T00:00:50Z,Degraded,Down,2025-01-02T00:00:10Z,0.6666666666666666
MFG-T-00003,M-001,MFG-E-000020,2025-01-03T00:01:00Z,Down,Recovery,2025-01-02T00:00:50Z,1440.1666666666667
MFG-T-00004,M-001,MFG-E-000021,2025-01-03T02:00:00Z,Recovery,Running,2025-01-03T00:01:00Z,119.0
MFG-T-00005,M-002,MFG-E-000023,2025-01-02T00:01:40Z,Running,Down,2025-01-01T00:00:00Z,1441.6666666666667
MFG-T-00006,M-002,MFG-E-000032,2025-01-03T06:06:40Z,Down,Recovery,2025-01-02T00:01:40Z,1805.0
MFG-T-00007,M-002,MFG-E-000033,2025-01-03T08:01:40Z,Recovery,Running,2025-01-03T06:06:40Z,115.0
MFG-T-00008,M-003,MFG-E-000034,2025-01-02T00:03:20Z,Running,Down,2025-01-01T00:00:00Z,1443.3333333333333
MFG-T-00009,M-003,MFG-E-000037,2025-01-03T00:03:20Z,Down,Recovery,2025-01-02T00:03:20Z,1440.0
MFG-T-00010,M-003,MFG-E-000038,2025-01-03T01:03:20Z,Recovery,Running,2025-01-03T00:03:20Z,60.0
MFG-T-00011,M-003,MFG-E-000039,2025-01-03T02:03:20Z,Running,Degraded,2025-01-03T01:03:20Z,60.0
MFG-T-00012,M-004,MFG-E-000040,2025-01-02T00:05:00Z,Running,Degraded,2025-01-01T00:00:00Z,1445.0
MFG-T-00013,M-004,MFG-E-000041,2025-01-02T00:05:10Z,Degraded,Down,2025-01-02T00:05:00Z,0.16666666666666666
MFG-T-00014,M-004,MFG-E-000042,2025-01-02T00:35:00Z,Down,Recovery,2025-01-02T00:05:10Z,29.833333333333332
MFG-T-00015,M-005,MFG-E-000047,2025-01-02T00:07:00Z,Running,Recovery,2025-01-01T00:00:00Z,1447.0
MFG-T-00016,M-006,MFG-E-000049,2025-01-02T00:08:20Z,Running,Degraded,2025-01-01T00:00:00Z,1448.3333333333333
MFG-T-00017,M-006,MFG-E-000051,2025-01-02T00:08:40Z,Degraded,Quality Hold,2025-01-02T00:08:20Z,0.3333333333333333
MFG-T-00018,M-006,MFG-E-000054,2025-01-02T00:09:10Z,Quality Hold,Degraded,2025-01-02T00:08:40Z,0.5
MFG-T-00019,M-007,MFG-E-000055,2025-01-02T00:10:00Z,Setup,Running,2025-01-01T00:00:00Z,1450.0
MFG-T-00020,M-008,MFG-E-000057,2025-01-02T00:11:40Z,Idle,Setup,2025-01-01T00:00:00Z,1451.6666666666667
MFG-T-00021,M-008,MFG-E-000058,2025-01-02T00:11:50Z,Setup,Running,2025-01-02T00:11:40Z,0.16666666666666666
MFG-T-00022,M-008,MFG-E-000059,2025-01-03T00:11:40Z,Running,Unknown,2025-01-02T00:11:50Z,1439.8333333333333
MFG-T-00023,M-008,MFG-E-000060,2025-01-04T00:11:40Z,Unknown,Running,2025-01-03T00:11:40Z,1440.0
