leading_object_id,event_id,event_time,bearing_wear,thermal_wear,calibration_drift,true_health_index,true_fault_family
M-001,MFG-E-000001,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-002,MFG-E-000002,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-003,MFG-E-000003,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-004,MFG-E-000004,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-005,MFG-E-000005,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-006,MFG-E-000006,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-007,MFG-E-000007,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-008,MFG-E-000008,2025-01-01T00:00:00Z,0.05,0.05,0.02,0.9545,none
M-001,MFG-E-000009,2025-01-02T00:00:10Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000010,2025-01-02T00:00:20Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000011,2025-01-02T00:00:30Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000012,2025-01-02T00:00:40Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000013,2025-01-02T00:00:50Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000014,2025-01-02T12:00:00Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000015,2025-01-03T00:00:10Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000016,2025-01-03T00:00:20Z,0.05,0.05,0.02,0.9545,bearing
M-001,MFG-E-000017,2025-01-03T00:00:30Z,0.02,0.05,0.02,0.9695,bearing
M-001,MFG-E-000018,2025-01-03T00:00:40Z,0.02,0.05,0.02,0.9695,none
M-001,MFG-E-000019,2025-01-03T00:00:50Z,0.02,0.05,0.02,0.9695,none
M-001,MFG-E-000020,2025-01-03T00:01:00Z,0.02,0.05,0.02,0.9695,none
M-001,MFG-E-000021,2025-01-03T02:00:00Z,0.02,0.05,0.02,0.9695,none
M-001,MFG-E-000022,2025-01-03T02:00:10Z,0.02,0.05,0.02,0.9695,none
M-002,MFG-E-000023,2025-01-02T00:01:40Z,0.05,0.05,0.02,0.9545,thermal
M-002,MFG-E-000024,2025-01-02T00:06:40Z,0.05,0.05,0.02,0.9545,thermal
M-002,MFG-E-000025,2025-01-03T00:01:40Z,0.05,0.05,0.02,0.9545,thermal
M-002,MFG-E-000026,2025-01-03T00:06:40Z,0.05,0.05,0.02,0.9545,thermal
M-002,MFG-E-000027,2025-01-03T00:11:40Z,0.05,0.05,0.02,0.9545,thermal
M-002,MFG-E-000028,2025-01-03T04:01:40Z,0.05,0.02,0.02,0.965,thermal
M-002,MFG-E-000029,2025-01-03T04:21:40Z,0.05,0.02,0.02,0.965,thermal
M-002,MFG-E-000030,2025-01-03T05:01:40Z,0.009999999999999998,0.003999999999999999,0.003999999999999999,0.993,thermal
M-002,MFG-E-000031,2025-01-03T06:01:40Z,0.009999999999999998,0.003999999999999999,0.003999999999999999,0.993,thermal
M-002,MFG-E-000032,2025-01-03T06:06:40Z,0.009999999999999998,0.003999999999999999,0.003999999999999999,0.993,thermal
