id,activity,timestamp,ot:Container,ot:Customer Order,ot:Forklift,ot:Handling Unit,ot:Transport Document,ot:Truck,ot:Vehicle
reg_co1,Register Customer Order,2023-05-22T11:54:42+00:00,,co1#registered CO,,,,,
reg_co2,Register Customer Order,2023-05-22T18:33:30+00:00,,co2#registered CO,,,,,
create_td1,Create Transport Document,2023-05-23T08:22:17+00:00,,co2#TD created for CO,,,td1#created TD,,
book_vehs_td1,Book Vehicles,2023-05-23T10:05:16+00:00,,,,,td1#VHs booked for TD,,vh1#booked VHs/vh4#booked VHs
reg_co3,Register Customer Order,2023-05-23T12:14:57+00:00,,co3#registered CO,,,,,
order_crs_td1,Order Empty Containers,2023-05-23T13:22:08+00:00,cr1#CRs ordered/cr2#CRs ordered/cr3#CRs ordered/cr4#CRs ordered/cr5#CRs ordered,,,,td1#ordered for TD,,
reg_co4,Register Customer Order,2023-05-23T18:34:15+00:00,,co4#registered CO,,,,,
reg_co5,Register Customer Order,2023-05-24T12:16:04+00:00,,co5#registered CO,,,,,
reg_co6,Register Customer Order,2023-05-24T18:37:36+00:00,,co6#registered CO,,,,,
pick_cr2,Pick Up Empty Container,2023-05-24T19:02:38+00:00,cr2#CR picked,,,,,,
collect_hu1,Collect Goods,2023-05-24T19:02:38+00:00,,,,hu1#HU collected,,,
pick_cr3,Pick Up Empty Container,2023-05-25T00:23:40+00:00,cr3#CR picked,,,,,,
collect_hu9,Collect Goods,2023-05-25T05:03:58+00:00,,,,hu9#HU collected,,,
collect_hu5,Collect Goods,2023-05-25T05:05:26+00:00,,,,hu5#HU collected,,,
collect_hu12,Collect Goods,2023-05-25T05:14:13+00:00,,,,hu12#HU collected,,,
collect_hu11,Collect Goods,2023-05-25T05:21:22+00:00,,,,hu11#HU collected,,,
collect_hu8,Collect Goods,2023-05-25T05:32:38+00:00,,,,hu8#HU collected,,,
collect_hu2,Collect Goods,2023-05-25T05:33:42+00:00,,,,hu2#HU collected,,,
collect_hu4,Collect Goods,2023-05-25T05:36:20+00:00,,,,hu4#HU collected,,,
collect_hu3,Collect Goods,2023-05-25T05:39:41+00:00,,,,hu3#HU collected,,,
load_truck_hu4,Load Truck,2023-05-25T05:43:08+00:00,cr2#CR laded,,,hu4#HU loaded,,tr6#TR laded,
load_truck_hu1,Load Truck,2023-05-25T05:46:53+00:00,cr2#CR laded,,,hu1#HU loaded,,tr6#TR laded,
collect_hu7,Collect Goods,2023-05-25T05:49:30+00:00,,,,hu7#HU collected,,,
load_truck_hu5,Load Truck,2023-05-25T05:51:14+00:00,cr2#CR laded,,,hu5#HU loaded,,tr6#TR laded,
collect_hu6,Collect Goods,2023-05-25T05:55:43+00:00,,,,hu6#HU collected,,,
load_truck_hu2,Load Truck,2023-05-25T05:56:03+00:00,cr2#CR laded,,,hu2#HU loaded,,tr6#TR laded,
load_truck_hu3,Load Truck,2023-05-25T05:57:13+00:00,cr2#CR laded,,,hu3#HU loaded,,tr6#TR laded,
collect_hu10,Collect Goods,2023-05-25T06:58:06+00:00,,,,hu10#HU collected,,,
load_truck_hu6,Load Truck,2023-05-25T06:59:27+00:00,cr2#CR laded,,,hu6#HU loaded,,tr6#TR laded,
load_truck_hu9,Load Truck,2023-05-25T07:37:58+00:00,cr3#CR laded,,,hu9#HU loaded,,tr4#TR laded,
load_truck_hu8,Load Truck,2023-05-25T07:41:41+00:00,cr3#CR laded,,,hu8#HU loaded,,tr4#TR laded,
load_truck_hu12,Load Truck,2023-05-25T07:42:57+00:00,cr3#CR laded,,,hu12#HU loaded,,tr4#TR laded,
load_truck_hu11,Load Truck,2023-05-25T07:43:57+00:00,cr3#CR laded,,,hu11#HU loaded,,tr4#TR laded,
load_truck_hu10,Load Truck,2023-05-25T07:45:13+00:00,cr3#CR laded,,,hu10#HU loaded,,tr4#TR laded,
load_truck_hu7,Load Truck,2023-05-25T07:46:38+00:00,cr3#CR laded,,,hu7#HU loaded,,tr4#TR laded,
drive_term_cr2,Drive to Terminal,2023-05-25T08:40:46+00:00,cr2#CR moved,,,,,tr6#TR moved,
weigh_cr2,Weigh,2023-05-25T08:41:35+00:00,cr2#CR weighted,,fl1#FL weighing,,,,
stock_cr2,Place in Stock,2023-05-25T08:45:03+00:00,cr2#CR stored,,fl1#FL moved,,,,
drive_term_cr3,Drive to Terminal,2023-05-25T09:17:50+00:00,cr3#CR moved,,,,,tr4#TR moved,
weigh_cr3,Weigh,2023-05-25T09:19:35+00:00,cr3#CR weighted,,fl3#FL weighing,,,,
stock_cr3,Place in Stock,2023-05-25T09:21:37+00:00,cr3#CR stored,,fl3#FL moved,,,,
reg_co7,Register Customer Order,2023-05-25T12:21:06+00:00,,co7#registered CO,,,,,
create_td2,Create Transport Document,2023-05-25T13:59:21+00:00,,co7#TD created for CO,,,td2#created TD,,
book_vehs_td2,Book Vehicles,2023-05-25T15:29:35+00:00,,,,,td2#VHs booked for TD,,vh6#booked VHs
reg_co8,Register Customer Order,2023-05-25T18:52:42+00:00,,co8#registered CO,,,,,
create_td3,Create Transport Document,2023-05-26T09:36:47+00:00,,co6#TD created for CO,,,td3#created TD,,
create_td4,Create Transport Document,2023-05-26T09:41:01+00:00,,co8#TD created for CO,,,td4#created TD,,
book_vehs_td3,Book Vehicles,2023-05-26T09:53:25+00:00,,,,,td3#VHs booked for TD,,vh5#booked VHs
book_vehs_td4,Book Vehicles,2023-05-26T12:00:47+00:00,,,,,td4#VHs booked for TD,,vh1#booked VHs/vh6#booked VHs
order_crs_td2,Order Empty Containers,2023-05-26T12:32:25+00:00,cr6#CRs ordered/cr7#CRs ordered/cr8#CRs ordered,,,,td2#ordered for TD,,
create_td5,Create Transport Document,2023-05-26T12:48:31+00:00,,co5#TD created for CO,,,td5#created TD,,
create_td6,Create Transport Document,2023-05-26T14:54:26+00:00,,co1#TD created for CO,,,td6#created TD,,
reg_co9,Register Customer Order,2023-05-26T15:01:20+00:00,,co9#registered CO,,,,,
book_vehs_td5,Book Vehicles,2023-05-26T16:36:27+00:00,,,,,td5#VHs booked for TD,,vh6#booked VHs
pick_cr4,Pick Up Empty Container,2023-05-27T16:23:23+00:00,cr4#CR picked,,,,,,
collect_hu14,Collect Goods,2023-05-27T16:23:23+00:00,,,,hu14#HU collected,,,
pick_cr7,Pick Up Empty Container,2023-05-29T02:04:04+00:00,cr7#CR picked,,,,,,
collect_hu15,Collect Goods,2023-05-29T05:27:29+00:00,,,,hu15#HU collected,,,
