id,activity,timestamp,ot:Invoice,ot:Payment,ot:Purchase Order,ot:Purchase Requisition,payment_inserter,invoice_inserter,po_creator,pr_creator,invoice_block_rem,po_editor,pr_approver,invoice_blocker
e1,Create Purchase Requisition,2022-01-09T14:00:00+00:00,,,,PR1#Regular placement of PR,,,,Mike,,,,
e2,Approve Purchase Requisition,2022-01-09T15:30:00+00:00,,,,PR1#Regular approval of PR,,,,,,,Tania,
e3,Create Purchase Order,2022-01-10T08:15:00+00:00,,,PO1#Created order with identifier,PR1#Created order from PR,,,Mike,,,,,
e4,Change PO Quantity,2022-01-13T11:00:00+00:00,,,PO1#Change of quantity,,,,,,,Mike,,
e5,Insert Invoice,2022-01-14T11:00:00+00:00,R1#Invoice created with identifier,,PO1#Invoice created starting from the PO,,,Luke,,,,,,
e6,Insert Invoice,2022-01-16T10:00:00+00:00,R2#Invoice created with identifier,,PO1#Invoice created starting from the PO,,,Luke,,,,,,
e7,Insert Payment,2022-01-30T22:00:00+00:00,R1#Payment for the invoice,P1#Payment inserted with identifier,,,Robot,,,,,,,
e8,Insert Payment,2022-01-31T21:00:00+00:00,R2#Payment for the invoice,P2#Payment created with identifier,,,Robot,,,,,,,
e9,Insert Invoice,2022-02-02T08:00:00+00:00,R3#Invoice created with identifier,,,,,Mario,,,,,,
e10,Create Purchase Order,2022-02-02T16:00:00+00:00,R3#Purchase order created with maverick buying from,,PO2#Purhcase order created with identifier,,,,Mario,,,,,
e11,Set Payment Block,2022-02-03T06:30:00+00:00,R3#Payment block due to unethical maverick buying,,,,,,,,,,,Mario
e12,Remove Payment Block,2022-02-03T22:30:00+00:00,R3#Payment block removed ...,,,,,,,,Mario,,,
e13,Insert Payment,2022-02-28T22:00:00+00:00,R3#Payment for the invoice,P3#Payment inserted with identifier,,,Robot,,,,,,,
,,,"R1{""is_blocked"":""No""}",,,,,,,,,,,
,,,"R2{""is_blocked"":""No""}",,,,,,,,,,,
,,,"R3{""is_blocked"":""No""}",,,,,,,,,,,
,,,,,"PO1{""po_quantity"":""500"",""po_product"":""Cows""}",,,,,,,,,
,,,,,"PO2{""po_quantity"":""1"",""po_product"":""Notebooks""}",,,,,,,,,
,,,,,,"PR1{""pr_quantity"":""500"",""pr_product"":""Cows""}",,,,,,,,
PO1,o2o,,R1#Invoice from PO/R2#Invoice from PO,,,,,,,,,,,
PO2,o2o,,R3#Maverick buying,,,,,,,,,,,
PR1,o2o,,,,PO1#PO from PR,,,,,,,,,
R1,o2o,,,P1#Payment from invoice,,,,,,,,,,
R2,o2o,,,P2#Payment from invoice,,,,,,,,,,
R3,o2o,,,P3#Payment from invoice,,,,,,,,,,
,,2022-01-13T11:00:00+00:00,,,"PO1{""po_quantity"":""600""}",,,,,,,,,
,,2022-02-03T06:30:00+00:00,"R3{""is_blocked"":""Yes""}",,,,,,,,,,,
,,2022-02-03T22:30:00+00:00,"R3{""is_blocked"":""No""}",,,,,,,,,,,
